42.159999847412142.52999877929000000005 2017-02-2342.36999893142.5299987
41.830001831054643.06999969482000000006 2017-02-2442.11000061043.0699996
42.349998474121042.63999938964000000005 2017-02-2742.88999938942.6399993
41.990001678466800000000000042000000006 2017-02-2842.4900016780000000042
41.990001678466842.43000030517000000006 2017-03-0142.31000137342.4300003
42.200000762939442.77000045776000000004 2017-03-0242.40000152542.7700004
42.580001831054643.02999877929000000004 2017-03-0342.70000076243.0299987
42.630001068115242.86999893188000000006 2017-03-0642.97999954242.8699989
42.709999084472642.88999938964000000004 2017-03-0742.79999923742.8899993
42.720001220703142.79000091552000000004 2017-03-0842.84000015242.7900009
42.450000762939442.91999816894000000003 2017-03-0942.65999984742.9199981
42.759998321533242.99000167846000000004 2017-03-1043.18999862642.9900016
